Date,Open,High,Low,Close,Adj Close,Volume
2023-03-10,7000.000000,7050.000000,6900.000000,7000.000000,6774.145020,1646500
2023-03-13,7000.000000,7100.000000,6825.000000,7075.000000,6846.725098,1816600
2023-03-14,7025.000000,7150.000000,6900.000000,6900.000000,6677.371582,3189700
2023-03-15,6975.000000,7050.000000,6925.000000,7000.000000,6774.145020,2036400
2023-03-16,7000.000000,7025.000000,6950.000000,6950.000000,6725.758301,4621800
2023-03-17,6950.000000,7000.000000,6850.000000,7000.000000,6774.145020,4683200
2023-03-20,7000.000000,7000.000000,6725.000000,6825.000000,6604.791504,2023200
2023-03-21,6825.000000,6925.000000,6700.000000,6875.000000,6653.178223,1762300
2023-03-24,6875.000000,7200.000000,6800.000000,7050.000000,6822.531738,6562900
2023-03-27,7075.000000,7250.000000,6900.000000,7000.000000,6774.145020,3330100
2023-03-28,7050.000000,7125.000000,6950.000000,6950.000000,6725.758301,1752300
2023-03-29,6975.000000,7000.000000,6850.000000,6925.000000,6701.564941,2894700
2023-03-30,6925.000000,7000.000000,6875.000000,6975.000000,6749.951660,2364200
2023-03-31,6975.000000,7000.000000,6800.000000,6950.000000,6725.758301,2527200
2023-04-03,6950.000000,6950.000000,6825.000000,6825.000000,6604.791504,1586600
2023-04-04,6850.000000,6875.000000,6775.000000,6825.000000,6604.791504,2547300
2023-04-05,6850.000000,6900.000000,6600.000000,6825.000000,6604.791504,6790000
2023-04-06,6825.000000,6825.000000,6650.000000,6750.000000,6532.211426,2599700
2023-04-10,6750.000000,6750.000000,6600.000000,6625.000000,6411.244141,2908900
2023-04-11,6650.000000,6700.000000,6575.000000,6700.000000,6483.824219,2420600
2023-04-12,6650.000000,6700.000000,6475.000000,6700.000000,6483.824219,7114600
2023-04-13,6675.000000,6750.000000,6600.000000,6600.000000,6387.050781,1961700
2023-04-14,6625.000000,6650.000000,6550.000000,6600.000000,6387.050781,2694200
2023-04-17,6600.000000,6725.000000,6575.000000,6650.000000,6435.437500,4175700
2023-04-18,6625.000000,6700.000000,6625.000000,6700.000000,6483.824219,1603700
2023-04-26,6725.000000,6775.000000,6600.000000,6600.000000,6387.050781,3678100
2023-04-27,6600.000000,6900.000000,6600.000000,6800.000000,6580.598145,3754900
2023-04-28,6800.000000,7125.000000,6800.000000,7000.000000,6774.145020,146623600
2023-05-02,7100.000000,7450.000000,7050.000000,7350.000000,7112.852051,17667200
2023-05-03,7350.000000,7450.000000,7200.000000,7450.000000,7209.625488,4064300
2023-05-04,7450.000000,7625.000000,7325.000000,7550.000000,7306.399414,7221100
2023-05-05,7600.000000,7625.000000,7475.000000,7550.000000,7306.399414,3497500
2023-05-08,7550.000000,7800.000000,7525.000000,7750.000000,7499.946289,6602000
2023-05-09,7750.000000,7800.000000,7600.000000,7725.000000,7475.752930,9613300
2023-05-10,7725.000000,7975.000000,7650.000000,7725.000000,7475.752930,5894300
2023-05-11,7525.000000,7825.000000,7525.000000,7600.000000,7354.786133,3949600
2023-05-12,7600.000000,7925.000000,7575.000000,7800.000000,7548.333008,2454900
2023-05-15,7775.000000,7900.000000,7600.000000,7675.000000,7427.366211,2263300
2023-05-16,7650.000000,7650.000000,7375.000000,7425.000000,7185.432129,11264700
2023-05-17,7425.000000,7725.000000,7325.000000,7600.000000,7354.786133,3537000
2023-05-19,7600.000000,7825.000000,7600.000000,7800.000000,7548.333008,6934700
2023-05-22,7800.000000,7800.000000,7625.000000,7650.000000,7403.172852,3121600
2023-05-23,7675.000000,7725.000000,7550.000000,7650.000000,7403.172852,3157200
2023-05-24,7700.000000,8150.000000,7650.000000,7925.000000,7669.299805,7748500
2023-05-25,7800.000000,8100.000000,7725.000000,7775.000000,7775.000000,6825500
2023-05-26,7775.000000,7925.000000,7600.000000,7850.000000,7850.000000,973700
2023-05-29,7850.000000,8150.000000,7850.000000,8025.000000,8025.000000,5664500
2023-05-30,8025.000000,8475.000000,8025.000000,8200.000000,8200.000000,16163400
2023-05-31,8125.000000,8450.000000,8125.000000,8300.000000,8300.000000,10758500
2023-06-05,8300.000000,8675.000000,8250.000000,8350.000000,8350.000000,8305700
2023-06-06,8475.000000,8625.000000,8325.000000,8500.000000,8500.000000,14143400
2023-06-07,8475.000000,8775.000000,8250.000000,8775.000000,8775.000000,16717400
2023-06-08,8775.000000,8850.000000,8650.000000,8700.000000,8700.000000,9898700
2023-06-09,8700.000000,8800.000000,8575.000000,8700.000000,8700.000000,7169900
2023-06-12,8700.000000,8950.000000,8600.000000,8650.000000,8650.000000,6603600
2023-06-13,8650.000000,8800.000000,8600.000000,8700.000000,8700.000000,5762600
2023-06-14,0.000000,0.000000,0.000000,8750.000000,8750.000000,0
